10	2	1
20	2	3
30	2	3
40	3	2
50	3	4
60	4	3
70	4	5
80	5	4
90	7	18
100	11	12
110	16	7
120	11	5
130	11	5
140	10	5
150	12	6
160	13	7
170	15	8
180	16	10
190	18	9
200	25	15
210	19	11
220	20	11
230	23	11
240	25	12
250	28	12
260	30	14
270	30	13
280	33	15
290	36	16
300	42	17
310	41	19
320	44	18
330	50	19
340	50	25
350	57	22
360	56	25
370	57	25
380	63	24
390	68	25
400	73	26
410	76	27
420	74	28
430	81	30
440	86	31
450	89	31
460	95	34
470	99	36
480	99	33
490	105	39
500	107	37
510	118	37
520	122	39
530	122	40
540	127	41
550	134	43
560	134	41
570	144	43
580	83	10
590	41	13
600	41	11
610	46	12
620	47	12
630	47	16
640	51	15
650	42	15
660	52	15
670	50	16
680	49	16
690	52	19
700	53	17
710	53	18
720	56	19
730	58	18
740	62	18
750	61	19
760	68	20
770	66	19
780	71	21
790	63	19
800	66	22
810	70	20
820	74	19
830	71	20
840	74	20
850	76	23
860	78	20
870	83	22
880	79	22
890	80	25
900	82	25
